Livestock,Area,Year,Value,Flags
"Total dairy cattle","Waikato","As at June 30 2015",1761949,
"Total dairy cattle","Waikato","As at June 30 2016",1855170,
"Total dairy cattle","Waikato","As at June 30 2017",1871594,
"Calves born alive to dairy heifers/cows","Waikato","As at June 30 1994",940241,
"Calves born alive to dairy heifers/cows","Waikato","As at June 30 2002",1115832,
"Calves born alive to dairy heifers/cows","Waikato","As at June 30 2003",1109797,
"Calves born alive to dairy heifers/cows","Waikato","As at June 30 2004",1098732,
"Calves born alive to dairy heifers/cows","Waikato","As at June 30 2005",1146292,
"Calves born alive to dairy heifers/cows","Waikato","As at June 30 2006",1157902,
"Calves born alive to dairy heifers/cows","Waikato","As at June 30 2007",1110475,
"Calves born alive to dairy heifers/cows","Waikato","As at June 30 2008",1159356,
"Calves born alive to dairy heifers/cows","Waikato","As at June 30 2009",1171815,
"Calves born alive to dairy heifers/cows","Waikato","As at June 30 2010",1156674,
"Calves born alive to dairy heifers/cows","Waikato","As at June 30 2011",1199259,
"Calves born alive to dairy heifers/cows","Waikato","As at June 30 2012",1195465,
"Calves born alive to dairy heifers/cows","Waikato","As at June 30 2013",1140749,
"Calves born alive to dairy heifers/cows","Waikato","As at June 30 2014",1157708,
"Calves born alive to dairy heifers/cows","Waikato","As at June 30 2015",1214803,
"Calves born alive to dairy heifers/cows","Waikato","As at June 30 2016",1240609,
"Calves born alive to dairy heifers/cows","Waikato","As at June 30 2017",1393438,
"Total sheep","Waikato","As at June 30 1994",3606345,
"Total sheep","Waikato","As at June 30 2002",2592399,
"Total sheep","Waikato","As at June 30 2003",2409128,
"Total sheep","Waikato","As at June 30 2004",2457368,
"Total sheep","Waikato","As at June 30 2005",2555163,
"Total sheep","Waikato","As at June 30 2006",2706984,
"Total sheep","Waikato","As at June 30 2007",2660145,
"Total sheep","Waikato","As at June 30 2008",2168673,
"Total sheep","Waikato","As at June 30 2009",2101906,
"Total sheep","Waikato","As at June 30 2010",1982414,
"Total sheep","Waikato","As at June 30 2011",1838297,
"Total sheep","Waikato","As at June 30 2012",1776544,
"Total sheep","Waikato","As at June 30 2013",1926059,
"Total sheep","Waikato","As at June 30 2014",1699244,
"Total sheep","Waikato","As at June 30 2015",1646010,
"Total sheep","Waikato","As at June 30 2016",1666388,
"Total sheep","Waikato","As at June 30 2017",1478921,
"Total lambs marked and/or tailed","Waikato","As at June 30 1994",2465576,
"Total lambs marked and/or tailed","Waikato","As at June 30 2002",2171607,
"Total lambs marked and/or tailed","Waikato","As at June 30 2003",2017374,
"Total lambs marked and/or tailed","Waikato","As at June 30 2004",2058071,
"Total lambs marked and/or tailed","Waikato","As at June 30 2005",2282141,
"Total lambs marked and/or tailed","Waikato","As at June 30 2006",2364467,
"Total lambs marked and/or tailed","Waikato","As at June 30 2007",2306051,
"Total lambs marked and/or tailed","Waikato","As at June 30 2008",2156279,
"Total lambs marked and/or tailed","Waikato","As at June 30 2009",1718231,
"Total lambs marked and/or tailed","Waikato","As at June 30 2010",1786873,
"Total lambs marked and/or tailed","Waikato","As at June 30 2011",1583838,
"Total lambs marked and/or tailed","Waikato","As at June 30 2012",1534589,
"Total lambs marked and/or tailed","Waikato","As at June 30 2013",1607965,
"Total lambs marked and/or tailed","Waikato","As at June 30 2014",1491976,
"Total lambs marked and/or tailed","Waikato","As at June 30 2015",1465207,
"Total lambs marked and/or tailed","Waikato","As at June 30 2016",1528112,
"Total lambs marked and/or tailed","Waikato","As at June 30 2017",1366392,
"Total deer","Waikato","As at June 30 1994",161997,
"Total deer","Waikato","As at June 30 2002",143098,
"Total deer","Waikato","As at June 30 2003",139824,
"Total deer","Waikato","As at June 30 2004",144469,
"Total deer","Waikato","As at June 30 2005",141515,
"Total deer","Waikato","As at June 30 2006",126585,
"Total deer","Waikato","As at June 30 2007",116554,
"Total deer","Waikato","As at June 30 2008",91865,
"Total deer","Waikato","As at June 30 2009",97508,
"Total deer","Waikato","As at June 30 2010",83952,
"Total deer","Waikato","As at June 30 2011",76961,
"Total deer","Waikato","As at June 30 2012",81019,
"Total deer","Waikato","As at June 30 2013",78947,
"Total deer","Waikato","As at June 30 2014",75315,
"Total deer","Waikato","As at June 30 2015",69525,
"Total deer","Waikato","As at June 30 2016",63811,
"Total deer","Waikato","As at June 30 2017",62714,
"Fawns weaned","Waikato","As at June 30 1994",46548,
"Fawns weaned","Waikato","As at June 30 2002",54341,
"Fawns weaned","Waikato","As at June 30 2003",51085,
"Fawns weaned","Waikato","As at June 30 2004",59961,
"Fawns weaned","Waikato","As at June 30 2005",54725,
"Fawns weaned","Waikato","As at June 30 2006",46944,
"Fawns weaned","Waikato","As at June 30 2007",43442,
"Fawns weaned","Waikato","As at June 30 2008",36948,
"Fawns weaned","Waikato","As at June 30 2009",34854,
"Fawns weaned","Waikato","As at June 30 2010",29947,
"Fawns weaned","Waikato","As at June 30 2011",28874,
"Fawns weaned","Waikato","As at June 30 2012",29002,
"Fawns weaned","Waikato","As at June 30 2013",30581,
"Fawns weaned","Waikato","As at June 30 2014",26424,
"Fawns weaned","Waikato","As at June 30 2015",24768,
"Fawns weaned","Waikato","As at June 30 2016",22117,
"Fawns weaned","Waikato","As at June 30 2017",22810,
"Total pigs","Waikato","As at June 30 1994",77594,
"Total pigs","Waikato","As at June 30 2002",63353,
"Total pigs","Waikato","As at June 30 2003",60789,
"Total pigs","Waikato","As at June 30 2004",65448,
"Total pigs","Waikato","As at June 30 2005",50310,
"Total pigs","Waikato","As at June 30 2006",48733,
"Total pigs","Waikato","As at June 30 2007",46666,
"Total pigs","Waikato","As at June 30 2008",38448,
"Total pigs","Waikato","As at June 30 2009",41245,
"Total pigs","Waikato","As at June 30 2010",48304,
"Total pigs","Waikato","As at June 30 2011",43941,
"Total pigs","Waikato","As at June 30 2012",37290,
"Total pigs","Waikato","As at June 30 2013",34791,
"Total pigs","Waikato","As at June 30 2014",29620,
"Total pigs","Waikato","As at June 30 2015",37715,
"Total pigs","Waikato","As at June 30 2016",30933,
"Total pigs","Waikato","As at June 30 2017",30001,
"Piglets weaned","Waikato","As at June 30 2003",116572,
"Piglets weaned","Waikato","As at June 30 2004",125196,
"Piglets weaned","Waikato","As at June 30 2005",100768,
"Piglets weaned","Waikato","As at June 30 2006",108922,
"Piglets weaned","Waikato","As at June 30 2007",103112,
"Piglets weaned","Waikato","As at June 30 2008",82918,
"Piglets weaned","Waikato","As at June 30 2009",86501,
"Piglets weaned","Waikato","As at June 30 2010",106455,
"Piglets weaned","Waikato","As at June 30 2011",95870,
"Piglets weaned","Waikato","As at June 30 2012",76287,
"Piglets weaned","Waikato","As at June 30 2013",75330,
"Piglets weaned","Waikato","As at June 30 2014",72188,
"Piglets weaned","Waikato","As at June 30 2015",64635,
"Piglets weaned","Waikato","As at June 30 2016",65038,
"Piglets weaned","Waikato","As at June 30 2017",63214,
"Total horses","Waikato","As at June 30 1994",13738,
"Total horses","Waikato","As at June 30 2002",17107,
"Total horses","Waikato","As at June 30 2003",18077,
"Total horses","Waikato","As at June 30 2004",20114,
"Total horses","Waikato","As at June 30 2007",16970,
"Total horses","Waikato","As at June 30 2008",16234,
"Total horses","Waikato","As at June 30 2009",14687,
"Total horses","Waikato","As at June 30 2010",15825,
"Total horses","Waikato","As at June 30 2011",12562,
"Total horses","Waikato","As at June 30 2012",13905,
"Total horses","Waikato","As at June 30 2013",14905,
"Total horses","Waikato","As at June 30 2014",14738,
"Total horses","Waikato","As at June 30 2015",11729,
"Total horses","Waikato","As at June 30 2016",15530,
"Total horses","Waikato","As at June 30 2017",14749,
"Total beef cattle","Bay of Plenty","As at June 30 1994",164806,
"Total beef cattle","Bay of Plenty","As at June 30 2002",134815,
"Total beef cattle","Bay of Plenty","As at June 30 2003",125306,
"Total beef cattle","Bay of Plenty","As at June 30 2004",116729,
"Total beef cattle","Bay of Plenty","As at June 30 2005",108344,
"Total beef cattle","Bay of Plenty","As at June 30 2006",117435,
"Total beef cattle","Bay of Plenty","As at June 30 2007",119743,
"Total beef cattle","Bay of Plenty","As at June 30 2008",102682,
"Total beef cattle","Bay of Plenty","As at June 30 2009",109541,
"Total beef cattle","Bay of Plenty","As at June 30 2010",82840,
"Total beef cattle","Bay of Plenty","As at June 30 2011",83793,
"Total beef cattle","Bay of Plenty","As at June 30 2012",93357,
"Total beef cattle","Bay of Plenty","As at June 30 2013",92984,
"Total beef cattle","Bay of Plenty","As at June 30 2014",87783,
"Total beef cattle","Bay of Plenty","As at June 30 2015",90768,
"Total beef cattle","Bay of Plenty","As at June 30 2016",92583,
"Total beef cattle","Bay of Plenty","As at June 30 2017",104751,
"Calves born alive to beef heifers/cows","Bay of Plenty","As at June 30 1994",39976,
"Calves born alive to beef heifers/cows","Bay of Plenty","As at June 30 2002",27853,
"Calves born alive to beef heifers/cows","Bay of Plenty","As at June 30 2003",25567,
"Calves born alive to beef heifers/cows","Bay of Plenty","As at June 30 2004",24910,
"Calves born alive to beef heifers/cows","Bay of Plenty","As at June 30 2005",24550,
"Calves born alive to beef heifers/cows","Bay of Plenty","As at June 30 2006",23341,
"Calves born alive to beef heifers/cows","Bay of Plenty","As at June 30 2007",22389,
"Calves born alive to beef heifers/cows","Bay of Plenty","As at June 30 2008",18385,
"Calves born alive to beef heifers/cows","Bay of Plenty","As at June 30 2009",21681,
"Calves born alive to beef heifers/cows","Bay of Plenty","As at June 30 2010",19217,
"Calves born alive to beef heifers/cows","Bay of Plenty","As at June 30 2011",17654,
"Calves born alive to beef heifers/cows","Bay of Plenty","As at June 30 2012",18228,
"Calves born alive to beef heifers/cows","Bay of Plenty","As at June 30 2013",17990,
"Calves born alive to beef heifers/cows","Bay of Plenty","As at June 30 2014",14136,
"Calves born alive to beef heifers/cows","Bay of Plenty","As at June 30 2015",15679,
"Calves born alive to beef heifers/cows","Bay of Plenty","As at June 30 2016",22165,
"Calves born alive to beef heifers/cows","Bay of Plenty","As at June 30 2017",19498,
"Total dairy cattle","Bay of Plenty","As at June 30 1994",285752,
"Total dairy cattle","Bay of Plenty","As at June 30 2002",331410,
"Total dairy cattle","Bay of Plenty","As at June 30 2003",326885,
"Total dairy cattle","Bay of Plenty","As at June 30 2004",320923,
"Total dairy cattle","Bay of Plenty","As at June 30 2005",329776,
"Total dairy cattle","Bay of Plenty","As at June 30 2006",300509,
"Total dairy cattle","Bay of Plenty","As at June 30 2007",299013,
"Total dairy cattle","Bay of Plenty","As at June 30 2008",315183,
"Total dairy cattle","Bay of Plenty","As at June 30 2009",299696,
"Total dairy cattle","Bay of Plenty","As at June 30 2010",306884,
"Total dairy cattle","Bay of Plenty","As at June 30 2011",331536,
"Total dairy cattle","Bay of Plenty","As at June 30 2012",312326,
"Total dairy cattle","Bay of Plenty","As at June 30 2013",314679,
"Total dairy cattle","Bay of Plenty","As at June 30 2014",333375,
"Total dairy cattle","Bay of Plenty","As at June 30 2015",357039,
"Total dairy cattle","Bay of Plenty","As at June 30 2016",339170,
"Total dairy cattle","Bay of Plenty","As at June 30 2017",325175,
"Calves born alive to dairy heifers/cows","Bay of Plenty","As at June 30 1994",184232,
"Calves born alive to dairy heifers/cows","Bay of Plenty","As at June 30 2002",214406,
"Calves born alive to dairy heifers/cows","Bay of Plenty","As at June 30 2003",202440,
"Calves born alive to dairy heifers/cows","Bay of Plenty","As at June 30 2004",199718,
"Calves born alive to dairy heifers/cows","Bay of Plenty","As at June 30 2005",225803,
"Calves born alive to dairy heifers/cows","Bay of Plenty","As at June 30 2006",194045,
"Calves born alive to dairy heifers/cows","Bay of Plenty","As at June 30 2007",198444,
"Calves born alive to dairy heifers/cows","Bay of Plenty","As at June 30 2008",199812,
"Calves born alive to dairy heifers/cows","Bay of Plenty","As at June 30 2009",192010,
"Calves born alive to dairy heifers/cows","Bay of Plenty","As at June 30 2010",178089,
"Calves born alive to dairy heifers/cows","Bay of Plenty","As at June 30 2011",217101,
"Calves born alive to dairy heifers/cows","Bay of Plenty","As at June 30 2012",194605,
"Calves born alive to dairy heifers/cows","Bay of Plenty","As at June 30 2013",194323,
"Calves born alive to dairy heifers/cows","Bay of Plenty","As at June 30 2014",212013,
"Calves born alive to dairy heifers/cows","Bay of Plenty","As at June 30 2015",222907,
"Calves born alive to dairy heifers/cows","Bay of Plenty","As at June 30 2016",231904,
"Calves born alive to dairy heifers/cows","Bay of Plenty","As at June 30 2017",224046,
"Total sheep","Bay of Plenty","As at June 30 1994",620337,
"Total sheep","Bay of Plenty","As at June 30 2002",415379,
"Total sheep","Bay of Plenty","As at June 30 2003",355785,
"Total sheep","Bay of Plenty","As at June 30 2004",409095,
"Total sheep","Bay of Plenty","As at June 30 2005",356859,
"Total sheep","Bay of Plenty","As at June 30 2006",382419,
"Total sheep","Bay of Plenty","As at June 30 2007",385373,
"Total sheep","Bay of Plenty","As at June 30 2008",346445,
"Total sheep","Bay of Plenty","As at June 30 2009",331049,
"Total sheep","Bay of Plenty","As at June 30 2010",347973,
"Total sheep","Bay of Plenty","As at June 30 2011",284954,
"Total sheep","Bay of Plenty","As at June 30 2012",322882,
"Total sheep","Bay of Plenty","As at June 30 2013",312593,
"Total sheep","Bay of Plenty","As at June 30 2014",250299,
"Total sheep","Bay of Plenty","As at June 30 2015",302986,
"Total sheep","Bay of Plenty","As at June 30 2016",263380,
"Total sheep","Bay of Plenty","As at June 30 2017",281535,
"Total lambs marked and/or tailed","Bay of Plenty","As at June 30 1994",436279,
"Total lambs marked and/or tailed","Bay of Plenty","As at June 30 2002",367584,
"Total lambs marked and/or tailed","Bay of Plenty","As at June 30 2003",311499,
"Total lambs marked and/or tailed","Bay of Plenty","As at June 30 2004",336036,
"Total lambs marked and/or tailed","Bay of Plenty","As at June 30 2005",303869,
"Total lambs marked and/or tailed","Bay of Plenty","As at June 30 2006",314053,
"Total lambs marked and/or tailed","Bay of Plenty","As at June 30 2007",344075,
"Total lambs marked and/or tailed","Bay of Plenty","As at June 30 2008",330336,
"Total lambs marked and/or tailed","Bay of Plenty","As at June 30 2009",284017,
"Total lambs marked and/or tailed","Bay of Plenty","As at June 30 2010",268862,
"Total lambs marked and/or tailed","Bay of Plenty","As at June 30 2011",248106,
"Total lambs marked and/or tailed","Bay of Plenty","As at June 30 2012",291569,
"Total lambs marked and/or tailed","Bay of Plenty","As at June 30 2013",274857,
"Total lambs marked and/or tailed","Bay of Plenty","As at June 30 2014",235843,
"Total lambs marked and/or tailed","Bay of Plenty","As at June 30 2015",280417,
"Total lambs marked and/or tailed","Bay of Plenty","As at June 30 2016",249652,
"Total lambs marked and/or tailed","Bay of Plenty","As at June 30 2017",292155,
"Total deer","Bay of Plenty","As at June 30 1994",81873,
"Total deer","Bay of Plenty","As at June 30 2002",73027,
"Total deer","Bay of Plenty","As at June 30 2003",72071,
"Total deer","Bay of Plenty","As at June 30 2004",68044,
"Total deer","Bay of Plenty","As at June 30 2005",58785,
"Total deer","Bay of Plenty","As at June 30 2006",60163,
"Total deer","Bay of Plenty","As at June 30 2007",54296,
"Total deer","Bay of Plenty","As at June 30 2008",51995,
"Total deer","Bay of Plenty","As at June 30 2009",46053,
"Total deer","Bay of Plenty","As at June 30 2010",44893,
"Total deer","Bay of Plenty","As at June 30 2011",42471,
"Total deer","Bay of Plenty","As at June 30 2012",42156,
"Total deer","Bay of Plenty","As at June 30 2013",38554,
"Total deer","Bay of Plenty","As at June 30 2014",35251,
"Total deer","Bay of Plenty","As at June 30 2015",32512,
"Total deer","Bay of Plenty","As at June 30 2016",32580,
"Total deer","Bay of Plenty","As at June 30 2017",32645,
"Fawns weaned","Bay of Plenty","As at June 30 1994",24757,
"Fawns weaned","Bay of Plenty","As at June 30 2002",29179,
"Fawns weaned","Bay of Plenty","As at June 30 2003",27314,
"Fawns weaned","Bay of Plenty","As at June 30 2004",27416,
"Fawns weaned","Bay of Plenty","As at June 30 2005",24274,
"Fawns weaned","Bay of Plenty","As at June 30 2006",21693,
"Fawns weaned","Bay of Plenty","As at June 30 2007",19969,
"Fawns weaned","Bay of Plenty","As at June 30 2008",21654,
"Fawns weaned","Bay of Plenty","As at June 30 2009",16051,
"Fawns weaned","Bay of Plenty","As at June 30 2010",17656,
"Fawns weaned","Bay of Plenty","As at June 30 2011",16482,
"Fawns weaned","Bay of Plenty","As at June 30 2012",15154,
"Fawns weaned","Bay of Plenty","As at June 30 2013",16409,
"Fawns weaned","Bay of Plenty","As at June 30 2014",12504,
"Fawns weaned","Bay of Plenty","As at June 30 2015",12323,
"Fawns weaned","Bay of Plenty","As at June 30 2016",12424,
"Fawns weaned","Bay of Plenty","As at June 30 2017",11786,
"Total pigs","Bay of Plenty","As at June 30 1994",15162,
"Total pigs","Bay of Plenty","As at June 30 2002",9497,
"Total pigs","Bay of Plenty","As at June 30 2003",11051,
"Total pigs","Bay of Plenty","As at June 30 2004",7851,
"Total pigs","Bay of Plenty","As at June 30 2006",7230,
"Total pigs","Bay of Plenty","As at June 30 2007",6949,
"Total pigs","Bay of Plenty","As at June 30 2008",8055,
"Total pigs","Bay of Plenty","As at June 30 2009",7877,
"Total pigs","Bay of Plenty","As at June 30 2010",6574,
"Total pigs","Bay of Plenty","As at June 30 2011",6748,
"Total pigs","Bay of Plenty","As at June 30 2012",4542,
"Total pigs","Bay of Plenty","As at June 30 2013",3312,
"Total pigs","Bay of Plenty","As at June 30 2014",3904,
"Total pigs","Bay of Plenty","As at June 30 2015",1837,
"Total pigs","Bay of Plenty","As at June 30 2016",1903,
"Total pigs","Bay of Plenty","As at June 30 2017",1605,
"Piglets weaned","Bay of Plenty","As at June 30 2003",24985,
"Piglets weaned","Bay of Plenty","As at June 30 2004",17993,
"Piglets weaned","Bay of Plenty","As at June 30 2006",17868,
"Piglets weaned","Bay of Plenty","As at June 30 2007",15905,
"Piglets weaned","Bay of Plenty","As at June 30 2008",16100,
"Piglets weaned","Bay of Plenty","As at June 30 2009",17677,
"Piglets weaned","Bay of Plenty","As at June 30 2012",9617,
"Piglets weaned","Bay of Plenty","As at June 30 2013",13281,
"Piglets weaned","Bay of Plenty","As at June 30 2014",3719,
"Piglets weaned","Bay of Plenty","As at June 30 2015",3392,
"Piglets weaned","Bay of Plenty","As at June 30 2016",3862,
"Piglets weaned","Bay of Plenty","As at June 30 2017",3317,
"Total horses","Bay of Plenty","As at June 30 1994",2456,
"Total horses","Bay of Plenty","As at June 30 2002",2846,
"Total horses","Bay of Plenty","As at June 30 2003",2355,
"Total horses","Bay of Plenty","As at June 30 2007",2198,
"Total horses","Bay of Plenty","As at June 30 2008",2434,
"Total horses","Bay of Plenty","As at June 30 2010",2085,
"Total horses","Bay of Plenty","As at June 30 2011",1890,
"Total horses","Bay of Plenty","As at June 30 2012",1761,
"Total horses","Bay of Plenty","As at June 30 2013",1870,
"Total horses","Bay of Plenty","As at June 30 2014",1743,
"Total horses","Bay of Plenty","As at June 30 2015",1254,
"Total horses","Bay of Plenty","As at June 30 2016",1633,
"Total horses","Bay of Plenty","As at June 30 2017",1366,
"Total beef cattle","Gisborne","As at June 30 1994",351384,
"Total beef cattle","Gisborne","As at June 30 2002",309823,
"Total beef cattle","Gisborne","As at June 30 2003",349913,
"Total beef cattle","Gisborne","As at June 30 2004",341676,
"Total beef cattle","Gisborne","As at June 30 2005",300670,
"Total beef cattle","Gisborne","As at June 30 2006",305050,
"Total beef cattle","Gisborne","As at June 30 2007",287296,
"Total beef cattle","Gisborne","As at June 30 2008",287079,
"Total beef cattle","Gisborne","As at June 30 2009",249657,
"Total beef cattle","Gisborne","As at June 30 2010",262073,
"Total beef cattle","Gisborne","As at June 30 2011",272017,
"Total beef cattle","Gisborne","As at June 30 2012",267599,
"Total beef cattle","Gisborne","As at June 30 2013",260456,
"Total beef cattle","Gisborne","As at June 30 2014",277484,
"Total beef cattle","Gisborne","As at June 30 2015",244826,
"Total beef cattle","Gisborne","As at June 30 2016",243273,
"Total beef cattle","Gisborne","As at June 30 2017",247238,
"Calves born alive to beef heifers/cows","Gisborne","As at June 30 1994",106414,
"Calves born alive to beef heifers/cows","Gisborne","As at June 30 2002",91372,
"Calves born alive to beef heifers/cows","Gisborne","As at June 30 2003",99195,
"Calves born alive to beef heifers/cows","Gisborne","As at June 30 2004",90610,
"Calves born alive to beef heifers/cows","Gisborne","As at June 30 2005",90632,
"Calves born alive to beef heifers/cows","Gisborne","As at June 30 2006",85131,
"Calves born alive to beef heifers/cows","Gisborne","As at June 30 2007",86686,
"Calves born alive to beef heifers/cows","Gisborne","As at June 30 2008",77146,
"Calves born alive to beef heifers/cows","Gisborne","As at June 30 2009",77100,
"Calves born alive to beef heifers/cows","Gisborne","As at June 30 2010",73592,
"Calves born alive to beef heifers/cows","Gisborne","As at June 30 2011",84345,
"Calves born alive to beef heifers/cows","Gisborne","As at June 30 2012",71853,
"Calves born alive to beef heifers/cows","Gisborne","As at June 30 2013",74645,
"Calves born alive to beef heifers/cows","Gisborne","As at June 30 2014",67055,
"Calves born alive to beef heifers/cows","Gisborne","As at June 30 2015",73419,
"Calves born alive to beef heifers/cows","Gisborne","As at June 30 2016",62231,
"Calves born alive to beef heifers/cows","Gisborne","As at June 30 2017",65503,
"Total dairy cattle","Gisborne","As at June 30 1994",6226,
"Total dairy cattle","Gisborne","As at June 30 2002",12533,
"Total dairy cattle","Gisborne","As at June 30 2003",6969,
"Total dairy cattle","Gisborne","As at June 30 2007",7891,
"Total dairy cattle","Gisborne","As at June 30 2008",16432,
"Total dairy cattle","Gisborne","As at June 30 2010",10535,
"Total dairy cattle","Gisborne","As at June 30 2011",17806,
"Total dairy cattle","Gisborne","As at June 30 2012",17095,
"Total dairy cattle","Gisborne","As at June 30 2013",19332,
"Total dairy cattle","Gisborne","As at June 30 2014",15153,
"Total dairy cattle","Gisborne","As at June 30 2015",10341,
"Total dairy cattle","Gisborne","As at June 30 2016",11950,
"Total dairy cattle","Gisborne","As at June 30 2017",9407,
"Calves born alive to dairy heifers/cows","Gisborne","As at June 30 1994",4306,
"Calves born alive to dairy heifers/cows","Gisborne","As at June 30 2002",4086,
"Calves born alive to dairy heifers/cows","Gisborne","As at June 30 2003",4547,
"Calves born alive to dairy heifers/cows","Gisborne","As at June 30 2004",3560,
"Calves born alive to dairy heifers/cows","Gisborne","As at June 30 2007",4109,
"Calves born alive to dairy heifers/cows","Gisborne","As at June 30 2008",3018,
"Calves born alive to dairy heifers/cows","Gisborne","As at June 30 2009",1262,
"Calves born alive to dairy heifers/cows","Gisborne","As at June 30 2011",5120,
"Calves born alive to dairy heifers/cows","Gisborne","As at June 30 2012",2320,
"Calves born alive to dairy heifers/cows","Gisborne","As at June 30 2013",5878,
"Calves born alive to dairy heifers/cows","Gisborne","As at June 30 2014",6306,
"Calves born alive to dairy heifers/cows","Gisborne","As at June 30 2015",,s
"Calves born alive to dairy heifers/cows","Gisborne","As at June 30 2016",2131,
"Calves born alive to dairy heifers/cows","Gisborne","As at June 30 2017",4753,
"Total sheep","Gisborne","As at June 30 1994",2088870,
"Total sheep","Gisborne","As at June 30 2002",1679377,
"Total sheep","Gisborne","As at June 30 2003",1869777,
"Total sheep","Gisborne","As at June 30 2004",1847723,
"Total sheep","Gisborne","As at June 30 2005",1717266,
"Total sheep","Gisborne","As at June 30 2006",1833833,
"Total sheep","Gisborne","As at June 30 2007",1825496,
"Total sheep","Gisborne","As at June 30 2008",1679670,
"Total sheep","Gisborne","As at June 30 2009",1548344,
"Total sheep","Gisborne","As at June 30 2010",1589785,
"Total sheep","Gisborne","As at June 30 2011",1517015,
"Total sheep","Gisborne","As at June 30 2012",1547294,
"Total sheep","Gisborne","As at June 30 2013",1503378,
"Total sheep","Gisborne","As at June 30 2014",1602270,
"Total sheep","Gisborne","As at June 30 2015",1472423,
"Total sheep","Gisborne","As at June 30 2016",1515181,
"Total sheep","Gisborne","As at June 30 2017",1412045,
"Total lambs marked and/or tailed","Gisborne","As at June 30 1994",1372364,
"Total lambs marked and/or tailed","Gisborne","As at June 30 2002",1341165,
"Total lambs marked and/or tailed","Gisborne","As at June 30 2003",1465448,
"Total lambs marked and/or tailed","Gisborne","As at June 30 2004",1400312,
"Total lambs marked and/or tailed","Gisborne","As at June 30 2005",1340177,
"Total lambs marked and/or tailed","Gisborne","As at June 30 2006",1428059,
"Total lambs marked and/or tailed","Gisborne","As at June 30 2007",1480448,
"Total lambs marked and/or tailed","Gisborne","As at June 30 2008",1361388,
"Total lambs marked and/or tailed","Gisborne","As at June 30 2009",1393480,
"Total lambs marked and/or tailed","Gisborne","As at June 30 2010",1290277,
"Total lambs marked and/or tailed","Gisborne","As at June 30 2011",1244702,
"Total lambs marked and/or tailed","Gisborne","As at June 30 2012",1283202,
"Total lambs marked and/or tailed","Gisborne","As at June 30 2013",1327495,
"Total lambs marked and/or tailed","Gisborne","As at June 30 2014",1285895,
"Total lambs marked and/or tailed","Gisborne","As at June 30 2015",1278755,
"Total lambs marked and/or tailed","Gisborne","As at June 30 2016",1329894,
"Total lambs marked and/or tailed","Gisborne","As at June 30 2017",1199627,
"Total deer","Gisborne","As at June 30 1994",22955,
"Total deer","Gisborne","As at June 30 2002",25752,
"Total deer","Gisborne","As at June 30 2004",37878,
"Total deer","Gisborne","As at June 30 2005",30381,
"Total deer","Gisborne","As at June 30 2006",27507,
"Total deer","Gisborne","As at June 30 2007",26694,
"Total deer","Gisborne","As at June 30 2008",23261,
"Total deer","Gisborne","As at June 30 2009",22545,
"Total deer","Gisborne","As at June 30 2010",15093,
"Total deer","Gisborne","As at June 30 2011",17196,
"Total deer","Gisborne","As at June 30 2012",17323,
"Total deer","Gisborne","As at June 30 2013",18833,
"Total deer","Gisborne","As at June 30 2014",17871,
"Total deer","Gisborne","As at June 30 2015",12925,
"Total deer","Gisborne","As at June 30 2016",8358,
"Total deer","Gisborne","As at June 30 2017",11859,
"Fawns weaned","Gisborne","As at June 30 1994",7708,
"Fawns weaned","Gisborne","As at June 30 2002",9273,
"Fawns weaned","Gisborne","As at June 30 2004",14887,
"Fawns weaned","Gisborne","As at June 30 2005",11407,
"Fawns weaned","Gisborne","As at June 30 2006",10085,
"Fawns weaned","Gisborne","As at June 30 2007",9938,
"Fawns weaned","Gisborne","As at June 30 2008",8588,
"Fawns weaned","Gisborne","As at June 30 2009",8419,
"Fawns weaned","Gisborne","As at June 30 2010",5527,
"Fawns weaned","Gisborne","As at June 30 2011",6417,
"Fawns weaned","Gisborne","As at June 30 2012",6894,
"Fawns weaned","Gisborne","As at June 30 2013",6620,
"Fawns weaned","Gisborne","As at June 30 2014",5934,
"Fawns weaned","Gisborne","As at June 30 2015",6569,
"Fawns weaned","Gisborne","As at June 30 2016",3275,
"Fawns weaned","Gisborne","As at June 30 2017",4060,
"Total pigs","Gisborne","As at June 30 1994",3222,
"Total pigs","Gisborne","As at June 30 2002",1453,
"Total pigs","Gisborne","As at June 30 2003",847,
"Total pigs","Gisborne","As at June 30 2006",1104,
"Total pigs","Gisborne","As at June 30 2007",1857,
"Total pigs","Gisborne","As at June 30 2008",722,
"Total pigs","Gisborne","As at June 30 2012",,c
"Total pigs","Gisborne","As at June 30 2013",587,
"Total pigs","Gisborne","As at June 30 2014",,c
"Total pigs","Gisborne","As at June 30 2015",,c
"Total pigs","Gisborne","As at June 30 2016",431,
"Total pigs","Gisborne","As at June 30 2017",159,
"Piglets weaned","Gisborne","As at June 30 2012",,c
"Piglets weaned","Gisborne","As at June 30 2013",1531,
"Piglets weaned","Gisborne","As at June 30 2014",,c
"Piglets weaned","Gisborne","As at June 30 2015",560,
"Piglets weaned","Gisborne","As at June 30 2016",640,
"Piglets weaned","Gisborne","As at June 30 2017",374,
"Total horses","Gisborne","As at June 30 1994",3612,
"Total horses","Gisborne","As at June 30 2002",2218,
"Total horses","Gisborne","As at June 30 2003",2262,
"Total horses","Gisborne","As at June 30 2004",2114,
